symbol,weight,date,ttf_id,optimized_at
IAA,0.094040385,9/30/22,247,53:57.6
CARS,0.084020002,9/30/22,247,53:57.6
AN,0.07775633,9/30/22,247,53:57.6
LAD,0.075386464,9/30/22,247,53:57.6
PAG,0.072641894,9/30/22,247,53:57.6
GPI,0.071805388,9/30/22,247,53:57.6
ABG,0.065473672,9/30/22,247,53:57.6
SAH,0.0640479,9/30/22,247,53:57.6
CWH,0.063978196,9/30/22,247,53:57.6
KMX,0.058772996,9/30/22,247,53:57.6
CHH,0.112713149,9/30/22,115,54:01.8
IHG,0.081923334,9/30/22,115,54:01.8
MCRI,0.079779484,9/30/22,115,54:01.8
MAR,0.072914825,9/30/22,115,54:01.8
WH,0.070885592,9/30/22,115,54:01.8
PLYA,0.068201451,9/30/22,115,54:01.8
HLT,0.066891424,9/30/22,115,54:01.8
VAC,0.060232871,9/30/22,115,54:01.8
H,0.056989367,9/30/22,115,54:01.8
HGV,0.049742509,9/30/22,115,54:01.8
RRR,0.049460001,9/30/22,115,54:01.8
LVS,0.047581769,9/30/22,115,54:01.8
TNL,0.047312107,9/30/22,115,54:01.8
HTHT,0.036719029,9/30/22,115,54:01.8
WYNN,0.034204994,9/30/22,115,54:01.8
MGM,0.031287465,9/30/22,115,54:01.8
MLCO,0.023160627,9/30/22,115,54:01.8
CZR,0.01,9/30/22,115,54:01.8
MCD,0.104244897,9/30/22,86,54:05.7
YUM,0.074714644,9/30/22,86,54:05.7
QSR,0.074618093,9/30/22,86,54:05.7
DPZ,0.068031826,9/30/22,86,54:05.7
ARCO,0.061164943,9/30/22,86,54:05.7
WEN,0.056733407,9/30/22,86,54:05.7
PZZA,0.050532462,9/30/22,86,54:05.7
JACK,0.050247611,9/30/22,86,54:05.7
SBUX,0.047948626,9/30/22,86,54:05.7
YUMC,0.047231259,9/30/22,86,54:05.7
DENN,0.041327772,9/30/22,86,54:05.7
CBRL,0.041322774,9/30/22,86,54:05.7
CMG,0.040422433,9/30/22,86,54:05.7
TXRH,0.036529772,9/30/22,86,54:05.7
DIN,0.033208697,9/30/22,86,54:05.7
CAKE,0.030957252,9/30/22,86,54:05.7
BLMN,0.030025867,9/30/22,86,54:05.7
PLAY,0.028463857,9/30/22,86,54:05.7
WING,0.028435988,9/30/22,86,54:05.7
SHAK,0.027256508,9/30/22,86,54:05.7
EAT,0.026581311,9/30/22,86,54:05.7
KGC,0.141970386,9/30/22,65,54:09.1
NG,0.138413345,9/30/22,65,54:09.1
SSRM,0.126345704,9/30/22,65,54:09.1
GOLD,0.122944072,9/30/22,65,54:09.1
NEM,0.121635938,9/30/22,65,54:09.1
HL,0.11734844,9/30/22,65,54:09.1
AUY,0.116926669,9/30/22,65,54:09.1
CDE,0.114415445,9/30/22,65,54:09.1
SCCO,0.366874249,9/30/22,250,54:11.9
BHP,0.362019975,9/30/22,250,54:11.9
FCX,0.271105776,9/30/22,250,54:11.9
FISV,0.3,9/30/22,90,54:15.2
WDAY,0.199470147,9/30/22,90,54:15.2
INTU,0.132899965,9/30/22,90,54:15.2
PYPL,0.094349552,9/30/22,90,54:15.2
HOOD,0.067031358,9/30/22,90,54:15.2
SOFI,0.054631296,9/30/22,90,54:15.2
NU,0.04958361,9/30/22,90,54:15.2
NVEI,0.039459359,9/30/22,90,54:15.2
BILL,0.019444372,9/30/22,90,54:15.2
UPST,0.013087215,9/30/22,90,54:15.2
AFRM,0.010043125,9/30/22,90,54:15.2
COIN,0.01,9/30/22,90,54:15.2
SQ,0.01,9/30/22,90,54:15.2
CHKP,0.124723301,9/30/22,116,54:18.8
NLOK,0.124331436,9/30/22,116,54:18.8
NTCT,0.119141065,9/30/22,116,54:18.8
CSCO,0.11425125,9/30/22,116,54:18.8
RDWR,0.074294895,9/30/22,116,54:18.8
FFIV,0.064228464,9/30/22,116,54:18.8
ATEN,0.049495132,9/30/22,116,54:18.8
QLYS,0.04200754,9/30/22,116,54:18.8
PANW,0.039710946,9/30/22,116,54:18.8
RPD,0.035386907,9/30/22,116,54:18.8
TENB,0.034802316,9/30/22,116,54:18.8
CYBR,0.029948153,9/30/22,116,54:18.8
FTNT,0.029841502,9/30/22,116,54:18.8
VRNS,0.02613075,9/30/22,116,54:18.8
CRWD,0.02217021,9/30/22,116,54:18.8
OKTA,0.021216423,9/30/22,116,54:18.8
ZS,0.018689949,9/30/22,116,54:18.8
S,0.016805493,9/30/22,116,54:18.8
NET,0.012824268,9/30/22,116,54:18.8
VICI,0.071462376,9/30/22,145,54:22.4
ALEX,0.071320121,9/30/22,145,54:22.4
BRSP,0.068482362,9/30/22,145,54:22.4
ESRT,0.064499735,9/30/22,145,54:22.4
UE,0.062733035,9/30/22,145,54:22.4
AHH,0.061682374,9/30/22,145,54:22.4
STOR,0.061329407,9/30/22,145,54:22.4
SRC,0.061017551,9/30/22,145,54:22.4
EPRT,0.060660428,9/30/22,145,54:22.4
STAR,0.059509339,9/30/22,145,54:22.4
GOOD,0.059444493,9/30/22,145,54:22.4
SAFE,0.059142891,9/30/22,145,54:22.4
DBRG,0.057132698,9/30/22,145,54:22.4
BNL,0.054303859,9/30/22,145,54:22.4
AAT,0.052978168,9/30/22,145,54:22.4
GNL,0.045590325,9/30/22,145,54:22.4
WPC,0.02871084,9/30/22,145,54:22.4
ARE,0.077315339,9/30/22,264,54:26.6
CIO,0.063670196,9/30/22,264,54:26.6
PGRE,0.059370572,9/30/22,264,54:26.6
BXP,0.05707653,9/30/22,264,54:26.6
DEI,0.056849411,9/30/22,264,54:26.6
JBGS,0.056795271,9/30/22,264,54:26.6
BDN,0.056701412,9/30/22,264,54:26.6
KRC,0.055022015,9/30/22,264,54:26.6
VNO,0.054764071,9/30/22,264,54:26.6
CUZ,0.053963874,9/30/22,264,54:26.6
SLG,0.053320615,9/30/22,264,54:26.6
HPP,0.052907972,9/30/22,264,54:26.6
HIW,0.049501364,9/30/22,264,54:26.6
OPI,0.049096563,9/30/22,264,54:26.6
ONL,0.048314058,9/30/22,264,54:26.6
PDM,0.047925054,9/30/22,264,54:26.6
FSP,0.038128114,9/30/22,264,54:26.6
OFC,0.026764304,9/30/22,264,54:26.6
WRE,0.022513264,9/30/22,264,54:26.6
EQC,0.01,9/30/22,264,54:26.6
DEA,0.01,9/30/22,264,54:26.6
SONY,0.3,9/30/22,272,54:29.4
MSFT,0.249130537,9/30/22,272,54:29.4
QCOM,0.141500266,9/30/22,272,54:29.4
BABA,0.09408946,9/30/22,272,54:29.4
BIDU,0.093599161,9/30/22,272,54:29.4
NVDA,0.049381496,9/30/22,272,54:29.4
SNAP,0.044179924,9/30/22,272,54:29.4
U,0.028119156,9/30/22,272,54:29.4
WAB,0.136468857,9/30/22,274,54:32.5
CNI,0.131624999,9/30/22,274,54:32.5
CSX,0.126553164,9/30/22,274,54:32.5
TRN,0.126428988,9/30/22,274,54:32.5
CP,0.125773268,9/30/22,274,54:32.5
NSC,0.124395992,9/30/22,274,54:32.5
UNP,0.12056371,9/30/22,274,54:32.5
GBX,0.108191022,9/30/22,274,54:32.5
DDD,0.3,9/30/22,240,54:35.5
SSYS,0.3,9/30/22,240,54:35.5
DM,0.202037774,9/30/22,240,54:35.5
VLD,0.197962226,9/30/22,240,54:35.5
ACEL,0.171708983,9/30/22,257,54:38.9
MCRI,0.112187072,9/30/22,257,54:38.9
BYD,0.097245963,9/30/22,257,54:38.9
CHDN,0.076935318,9/30/22,257,54:38.9
RRR,0.070077611,9/30/22,257,54:38.9
